file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\rql\rule\mask\CountMaskRuleStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.rql.rule.mask.CountMaskRuleStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,17,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\checker\DialectPipelineDatabaseVariableChecker.java,org.apache.shardingsphere.data.pipeline.core.checker.DialectPipelineDatabaseVariableChecker,interface,2,3,1,2,1,1,0,0,0,0.0,NaN,NaN,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\kernel\data-pipeline\dialect\opengauss\src\test\java\org\apache\shardingsphere\data\pipeline\opengauss\ingest\incremental\wal\decode\OpenGaussTimestampUtilsTest.java,org.apache.shardingsphere.data.pipeline.opengauss.ingest.incremental.wal.decode.OpenGaussTimestampUtilsTest,class,8,8,0,8,3,1,0,10,0,0.0,0.0,0.0,3,0,0,0,0,3,3,0,0,0,2,0,0,2,0,0,0,0,2,19,0,0,0,0,0,4,0,5,0,6,0,0,0,0,23,0,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\mode\core\src\main\java\org\apache\shardingsphere\mode\metadata\refresher\pushdown\type\table\DropTablePushDownMetaDataRefresher.java,org.apache.shardingsphere.mode.metadata.refresher.pushdown.type.table.DropTablePushDownMetaDataRefresher,class,6,6,0,6,2,1,0,9,1,0.0,0.0,0.0,2,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,1,0,2,0,0,0,1,27,17,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\kernel\data-pipeline\scenario\consistency-check\src\main\java\org\apache\shardingsphere\data\pipeline\scenario\consistencycheck\ConsistencyCheckJobId.java,org.apache.shardingsphere.data.pipeline.scenario.consistencycheck.ConsistencyCheckJobId,class,7,9,2,7,6,1,0,5,0,0.55,0.0,0.0,5,1,5,0,0,0,5,0,0,0,4,0,0,4,0,0,4,0,3,23,2,0,0,0,0,0,1,4,2,4,0,0,0,0,21,17,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\test\it\parser\src\main\java\org\apache\shardingsphere\test\it\sql\parser\internal\cases\parser\jaxb\statement\ddl\dialect\oracle\view\OracleDropMaterializedViewLogStatementTestCase.java,org.apache.shardingsphere.test.it.sql.parser.internal.cases.parser.jaxb.statement.ddl.dialect.oracle.view.OracleDropMaterializedViewLogStatementTestCase,class,1,1,0,1,0,2,0,0,0,0.0,-1.0,-1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\kernel\sql-federation\distsql\handler\src\test\java\org\apache\shardingsphere\sqlfederation\distsql\handler\update\AlterSQLFederationRuleExecutorTest.java,org.apache.shardingsphere.sqlfederation.distsql.handler.update.AlterSQLFederationRuleExecutorTest,class,10,11,1,10,2,2,0,2,1,0.0,0.0,0.0,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,20,0,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\mode\type\cluster\repository\provider\zookeeper\src\main\java\org\apache\shardingsphere\mode\repository\cluster\zookeeper\ZookeeperRepository.java,org.apache.shardingsphere.mode.repository.cluster.zookeeper.ZookeeperRepository,class,20,22,2,20,42,1,0,63,0,0.7058824,0.0,0.0,17,0,14,3,0,0,14,0,0,0,4,0,0,4,0,0,3,0,15,185,13,0,6,10,0,1,4,17,3,22,2,1,0,5,94,17,0
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\kernel\data-pipeline\core\src\main\java\org\apache\shardingsphere\data\pipeline\core\execute\AbstractPipelineLifecycleRunnable.java,org.apache.shardingsphere.data.pipeline.core.execute.AbstractPipelineLifecycleRunnable,class,3,8,5,3,12,1,4,14,9,0.5833334,0.0,0.0,6,0,3,0,3,0,6,2,3,0,2,0,0,2,0,0,1,0,5,39,4,0,3,1,0,2,0,5,1,5,1,0,0,0,30,1025,2
D:\laboratorio-02-repositorios-java\.\repositories\shardingsphere\proxy\frontend\dialect\postgresql\src\main\java\org\apache\shardingsphere\proxy\frontend\postgresql\authentication\authenticator\PostgreSQLAuthenticatorType.java,org.apache.shardingsphere.proxy.frontend.postgresql.authentication.authenticator.PostgreSQLAuthenticatorType,enum,4,6,2,4,1,1,0,0,0,0.5,NaN,NaN,1,0,0,0,0,1,1,0,0,0,2,0,0,2,0,0,2,0,0,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,24,1,0
